,D-HQ657138,D-LC169962,D-LC169951,D-LC169940,D-MT723917,D-MT410495,A-PX211140,A-KC443345,A-LC569097,A-LC477450,A-LC569080,A-LC228370,A-LC569052,A-LC228348,A-LC228337,A-OP717089,A-OP717086,A-LC105569,A-KJ752161,A-MG181887,A-MG181766,A-KC443367,A-KC443222,A-PX211177,A-KJ721724,A-KJ721726,A-MN479030,A-MN479026,A-MN479018,A-MN478971,A-MN479017,A-KF716360,A-KC834711,A-KJ919308,A-KC443356,B-KJ639023,B-KJ639012,B-LC260244,B-KX880428,B-MG670645,B-MG670646,B-MG670642,B-KU059788,B-KU059777,B-KU059766,B-MG670638,B-MG670629,B-LC086725,B-LC086714,B-LC469415,B-LC260246,B-PX211157,B-LC169984,B-LC169973,B-KJ919372,B-LC086802,B-LC086791,B-LC086780,B-LC086736,B-KC178763,B-KC443763,B-KC443323,B-KC443631,B-KC443455,B-KC443200,B-PX211078,B-LC514470,B-MZ546115,B-KX880417,B-KU550266,B-KU550265,B-KU550263,B-LC325463,B-MH704719,B-LC541985,B-LC228326,B-LC228315,B-MT732498,B-LC386065,B-LC514481,B-MG599518,B-MG599517,B-AB975623,B-AB975625,B-AB975653,B-AB848007,B-AB975654,B-LC751266,B-LC751236,B-KY616885,B-LC066661,B-LC066650,B-LC066639,B-PX211080,B-LC260250,B-KU550264,B-KU550262,B-KU870407,B-KU870385,B-MH569748,B-MH569747,B-MF997035,B-MH704718,B-LC228304,B-KC442974,B-KC178768,B-KU356574,B-HQ641355,B-KC443007,B-KR705201,C-KJ721719,C-LC105580,C-MN479107,C-PP861577,C-PP861567,C-OP850442,C-PX211142,C-KC442963,C-KJ721722,C-LC514503,C-OP850443,C-PP861633,C-PP861579,C-KU199270,C-MG181656,C-MW715606,C-MG670643,C-MG670640,C-LC514514,C-MH166403,C-LC514492,C-OP850448,C-OP850447,C-OP850449,C-OP850446,C-OP850444,C-KF716356,C-KF716349,C-KU248405,C-KU248394
A-KC443367,85.82,86.59,86.56,86.56,86.44,86.53,96.54,97.62,97.15,97.21,97.24,97.24,97.31,97.28,97.28,97.21,97.18,96.90,96.75,96.53,96.56,,100.00,96.61,98.02,98.31,98.14,98.17,98.17,98.17,98.14,97.40,97.96,97.74,97.83,96.72,96.78,96.63,96.66,96.72,96.78,96.81,96.75,96.75,96.81,96.72,96.84,96.81,96.81,96.87,96.78,96.55,96.78,96.78,96.81,96.75,96.78,96.84,96.84,96.98,97.28,97.28,97.24,97.00,97.06,96.32,96.25,96.28,96.41,96.35,96.35,96.35,96.53,96.72,96.59,96.59,96.66,96.56,96.53,96.66,96.75,96.81,96.81,96.87,96.87,96.81,96.84,96.84,96.84,96.87,96.78,96.78,96.75,96.49,96.38,96.63,96.59,96.56,96.53,96.69,96.63,96.56,96.78,96.69,97.00,97.18,96.90,97.43,97.15,97.43,94.58,93.93,93.90,93.81,93.78,93.78,94.02,94.12,94.49,93.87,94.18,93.93,93.93,95.23,93.93,93.96,94.12,94.06,93.96,93.96,93.87,93.68,93.65,93.75,93.68,93.68,93.78,93.81,93.93,94.21
A-KC443222,85.82,86.59,86.56,86.56,86.44,86.53,96.54,97.62,97.15,97.21,97.24,97.24,97.31,97.28,97.28,97.21,97.18,96.90,96.75,96.53,96.56,100.00,,96.61,98.02,98.31,98.14,98.17,98.17,98.17,98.14,97.40,97.96,97.74,97.83,96.72,96.78,96.63,96.66,96.72,96.78,96.81,96.75,96.75,96.81,96.72,96.84,96.81,96.81,96.87,96.78,96.55,96.78,96.78,96.81,96.75,96.78,96.84,96.84,96.98,97.28,97.28,97.24,97.00,97.06,96.32,96.25,96.28,96.41,96.35,96.35,96.35,96.53,96.72,96.59,96.59,96.66,96.56,96.53,96.66,96.75,96.81,96.81,96.87,96.87,96.81,96.84,96.84,96.84,96.87,96.78,96.78,96.75,96.49,96.38,96.63,96.59,96.56,96.53,96.69,96.63,96.56,96.78,96.69,97.00,97.18,96.90,97.43,97.15,97.43,94.58,93.93,93.90,93.81,93.78,93.78,94.02,94.12,94.49,93.87,94.18,93.93,93.93,95.23,93.93,93.96,94.12,94.06,93.96,93.96,93.87,93.68,93.65,93.75,93.68,93.68,93.78,93.81,93.93,94.21
A-PX211177,85.30,85.84,85.81,85.81,85.81,85.77,96.91,96.91,96.35,96.39,96.42,96.42,96.48,96.45,96.52,96.52,96.48,96.22,96.06,96.03,96.10,96.61,96.61,,97.39,97.63,97.39,97.49,97.49,97.49,97.46,97.59,98.49,98.66,98.75,96.10,96.16,96.00,96.03,96.06,96.13,96.16,96.13,96.13,96.19,96.10,96.29,96.19,96.19,96.10,96.00,95.87,96.06,96.06,96.10,96.00,96.06,96.00,96.06,96.35,96.58,96.58,96.55,96.22,96.29,95.67,95.58,95.64,95.74,95.61,95.61,95.61,95.90,96.06,95.93,95.93,95.93,95.84,95.80,95.93,96.03,96.10,96.13,96.13,96.13,96.13,96.10,96.10,96.10,96.13,96.03,96.03,96.03,95.84,95.64,95.93,95.93,95.90,95.87,95.97,95.93,95.87,96.06,95.97,96.29,96.52,96.22,96.65,96.42,96.74,94.02,93.37,93.31,93.28,93.18,93.18,93.54,93.62,93.89,93.21,93.47,93.31,93.28,94.38,93.34,93.24,93.34,93.34,93.31,93.37,93.18,93.05,93.02,93.11,93.05,93.11,93.28,93.21,93.21,93.57
A-KJ721724,86.25,86.78,86.75,86.75,86.69,86.78,97.14,98.42,97.77,97.83,97.86,97.86,97.93,97.89,97.89,97.99,97.96,97.71,97.55,97.28,97.31,98.02,98.02,97.39,,99.55,99.26,99.35,99.35,99.35,99.32,98.11,98.73,98.51,98.61,97.43,97.49,97.40,97.43,97.46,97.52,97.55,97.52,97.52,97.59,97.43,97.62,97.59,97.59,97.59,97.49,97.26,97.68,97.68,97.59,97.52,97.55,97.55,97.62,97.82,98.11,98.11,98.08,97.77,97.83,97.00,96.97,97.12,97.24,97.18,97.18,97.18,97.31,97.49,97.43,97.43,97.43,97.31,97.28,97.40,97.52,97.59,97.59,97.59,97.59,97.59,97.55,97.55,97.55,97.59,97.52,97.52,97.49,97.20,97.15,97.40,97.37,97.40,97.37,97.46,97.40,97.34,97.55,97.46,97.68,97.86,97.68,98.20,98.05,98.27,95.45,94.55,94.49,94.46,94.37,94.37,94.64,94.72,95.08,94.43,94.74,94.46,94.49,95.98,94.74,94.58,94.74,94.74,94.67,94.64,94.55,94.37,94.33,94.43,94.37,94.37,94.46,94.46,94.55,94.95
A-KJ721726,86.21,86.67,86.64,86.64,86.58,86.67,97.39,98.59,98.00,98.07,98.10,98.10,98.16,98.13,98.13,98.22,98.19,97.88,97.72,97.57,97.54,98.31,98.31,97.63,99.55,,99.55,99.64,99.64,99.64,99.61,98.41,99.02,98.81,98.90,97.51,97.57,97.41,97.45,97.51,97.57,97.60,97.54,97.54,97.60,97.45,97.63,97.60,97.60,97.60,97.51,97.34,97.69,97.69,97.66,97.60,97.63,97.63,97.69,97.89,98.19,98.19,98.16,97.85,97.91,96.99,96.92,97.07,97.20,97.14,97.14,97.14,97.32,97.51,97.38,97.38,97.38,97.32,97.29,97.41,97.54,97.60,97.60,97.60,97.60,97.60,97.57,97.57,97.57,97.60,97.54,97.54,97.51,97.24,97.17,97.41,97.38,97.35,97.32,97.48,97.41,97.35,97.57,97.48,97.85,98.03,97.82,98.34,98.19,98.41,95.50,94.78,94.72,94.63,94.60,94.60,94.87,94.95,95.31,94.66,94.97,94.69,94.72,96.21,94.85,94.75,94.85,94.85,94.85,94.81,94.72,94.54,94.50,94.60,94.54,94.54,94.63,94.63,94.78,95.19
A-MN479030,86.10,86.63,86.59,86.59,86.53,86.63,97.14,98.36,97.83,97.89,97.93,97.93,97.99,97.96,97.96,97.99,97.96,97.65,97.49,97.28,97.31,98.14,98.14,97.39,99.26,99.55,,99.91,99.91,99.91,99.88,98.17,98.79,98.58,98.67,97.28,97.34,97.18,97.21,97.28,97.34,97.37,97.31,97.31,97.37,97.21,97.40,97.37,97.37,97.37,97.28,97.11,97.46,97.46,97.43,97.37,97.40,97.40,97.46,97.66,97.96,97.96,97.93,97.62,97.68,96.82,96.75,96.90,97.03,96.97,96.97,96.97,97.09,97.28,97.15,97.15,97.15,97.09,97.06,97.18,97.31,97.37,97.37,97.37,97.37,97.37,97.34,97.34,97.34,97.37,97.31,97.31,97.28,97.01,96.93,97.18,97.15,97.12,97.09,97.24,97.18,97.12,97.34,97.24,97.68,97.80,97.59,98.11,98.02,98.17,95.39,94.74,94.67,94.58,94.55,94.55,94.82,94.91,95.26,94.61,94.92,94.64,94.67,96.16,94.80,94.71,94.80,94.80,94.86,94.89,94.74,94.55,94.52,94.61,94.55,94.55,94.58,94.58,94.71,95.14
A-MN479026,86.13,86.66,86.63,86.63,86.56,86.66,97.24,98.45,97.93,97.99,98.02,98.02,98.08,98.05,98.05,98.08,98.05,97.74,97.59,97.37,97.40,98.17,98.17,97.49,99.35,99.64,99.91,,100.00,100.00,99.97,98.27,98.89,98.67,98.76,97.37,97.43,97.28,97.31,97.37,97.43,97.46,97.40,97.40,97.46,97.31,97.49,97.46,97.46,97.46,97.37,97.20,97.55,97.55,97.52,97.46,97.49,97.49,97.55,97.76,98.05,98.05,98.02,97.71,97.77,96.91,96.84,97.00,97.12,97.06,97.06,97.06,97.18,97.37,97.24,97.24,97.24,97.18,97.15,97.28,97.40,97.46,97.46,97.46,97.46,97.46,97.43,97.43,97.43,97.46,97.40,97.40,97.37,97.11,97.03,97.28,97.24,97.21,97.18,97.34,97.28,97.21,97.43,97.34,97.77,97.89,97.68,98.20,98.11,98.27,95.42,94.77,94.71,94.61,94.58,94.58,94.85,94.94,95.29,94.64,94.95,94.67,94.71,96.19,94.83,94.74,94.83,94.83,94.83,94.86,94.71,94.52,94.49,94.58,94.52,94.52,94.61,94.61,94.74,95.17
A-MN479018,86.13,86.66,86.63,86.63,86.56,86.66,97.24,98.45,97.93,97.99,98.02,98.02,98.08,98.05,98.05,98.08,98.05,97.74,97.59,97.37,97.40,98.17,98.17,97.49,99.35,99.64,99.91,100.00,,100.00,99.97,98.27,98.89,98.67,98.76,97.37,97.43,97.28,97.31,97.37,97.43,97.46,97.40,97.40,97.46,97.31,97.49,97.46,97.46,97.46,97.37,97.20,97.55,97.55,97.52,97.46,97.49,97.49,97.55,97.76,98.05,98.05,98.02,97.71,97.77,96.91,96.84,97.00,97.12,97.06,97.06,97.06,97.18,97.37,97.24,97.24,97.24,97.18,97.15,97.28,97.40,97.46,97.46,97.46,97.46,97.46,97.43,97.43,97.43,97.46,97.40,97.40,97.37,97.11,97.03,97.28,97.24,97.21,97.18,97.34,97.28,97.21,97.43,97.34,97.77,97.89,97.68,98.20,98.11,98.27,95.42,94.77,94.71,94.61,94.58,94.58,94.85,94.94,95.29,94.64,94.95,94.67,94.71,96.19,94.83,94.74,94.83,94.83,94.83,94.86,94.71,94.52,94.49,94.58,94.52,94.52,94.61,94.61,94.74,95.17
A-MN478971,86.13,86.66,86.63,86.63,86.56,86.66,97.24,98.45,97.93,97.99,98.02,98.02,98.08,98.05,98.05,98.08,98.05,97.74,97.59,97.37,97.40,98.17,98.17,97.49,99.35,99.64,99.91,100.00,100.00,,99.97,98.27,98.89,98.67,98.76,97.37,97.43,97.28,97.31,97.37,97.43,97.46,97.40,97.40,97.46,97.31,97.49,97.46,97.46,97.46,97.37,97.20,97.55,97.55,97.52,97.46,97.49,97.49,97.55,97.76,98.05,98.05,98.02,97.71,97.77,96.91,96.84,97.00,97.12,97.06,97.06,97.06,97.18,97.37,97.24,97.24,97.24,97.18,97.15,97.28,97.40,97.46,97.46,97.46,97.46,97.46,97.43,97.43,97.43,97.46,97.40,97.40,97.37,97.11,97.03,97.28,97.24,97.21,97.18,97.34,97.28,97.21,97.43,97.34,97.77,97.89,97.68,98.20,98.11,98.27,95.42,94.77,94.71,94.61,94.58,94.58,94.85,94.94,95.29,94.64,94.95,94.67,94.71,96.19,94.83,94.74,94.83,94.83,94.83,94.86,94.71,94.52,94.49,94.58,94.52,94.52,94.61,94.61,94.74,95.17
A-MN479017,86.16,86.69,86.66,86.66,86.59,86.69,97.27,98.48,97.96,98.02,98.05,98.05,98.11,98.08,98.08,98.11,98.08,97.77,97.62,97.40,97.43,98.14,98.14,97.46,99.32,99.61,99.88,99.97,99.97,99.97,,98.24,98.85,98.64,98.73,97.34,97.40,97.24,97.28,97.34,97.40,97.43,97.37,97.37,97.43,97.28,97.46,97.43,97.43,97.43,97.34,97.17,97.52,97.52,97.49,97.43,97.46,97.46,97.52,97.72,98.02,98.02,97.99,97.68,97.74,96.88,96.81,96.97,97.09,97.03,97.03,97.03,97.15,97.34,97.21,97.21,97.21,97.15,97.12,97.24,97.37,97.43,97.43,97.43,97.43,97.43,97.40,97.40,97.40,97.43,97.37,97.37,97.34,97.07,97.00,97.24,97.21,97.18,97.15,97.31,97.24,97.18,97.40,97.31,97.74,97.86,97.65,98.17,98.08,98.24,95.39,94.74,94.67,94.58,94.55,94.55,94.82,94.91,95.26,94.61,94.92,94.64,94.67,96.16,94.80,94.71,94.80,94.80,94.80,94.83,94.67,94.55,94.52,94.61,94.55,94.55,94.58,94.58,94.71,95.14
A-KF716360,86.22,86.69,86.66,86.66,86.63,86.66,96.57,97.62,97.09,97.15,97.18,97.24,97.24,97.21,97.21,97.31,97.28,96.97,96.81,96.59,96.63,97.40,97.40,97.59,98.11,98.41,98.17,98.27,98.27,98.27,98.24,,98.95,98.73,98.82,96.81,96.87,96.72,96.75,96.81,96.87,96.90,96.78,96.84,96.90,96.75,96.93,96.90,96.90,96.97,96.75,96.64,97.06,97.00,96.97,96.84,96.87,96.87,96.93,97.17,97.43,97.43,97.40,97.09,97.15,96.42,96.35,96.44,96.56,96.44,96.44,96.44,96.69,96.87,96.75,96.75,96.75,96.63,96.59,96.72,96.84,96.90,96.97,96.97,96.97,96.97,96.93,96.93,96.93,96.97,96.84,96.84,96.81,96.55,96.47,96.66,96.63,96.66,96.63,96.78,96.72,96.66,96.87,96.84,97.09,97.28,97.03,97.52,97.31,97.52,94.80,94.21,94.15,94.06,94.02,94.02,94.54,94.38,94.80,94.09,94.40,94.18,94.15,95.57,94.40,94.12,94.21,94.21,94.15,94.21,94.12,93.93,93.90,93.99,93.93,93.93,93.99,93.99,94.12,94.49
A-KC834711,86.16,86.56,86.53,86.53,86.56,86.53,97.17,98.27,97.65,97.71,97.74,97.74,97.80,97.77,97.77,97.93,97.83,97.52,97.37,97.21,97.24,97.96,97.96,98.49,98.73,99.02,98.79,98.89,98.89,98.89,98.85,98.95,,99.66,99.75,97.31,97.37,97.21,97.24,97.31,97.37,97.40,97.34,97.34,97.40,97.31,97.49,97.46,97.46,97.40,97.31,97.14,97.37,97.37,97.46,97.34,97.37,97.37,97.43,97.63,97.93,97.93,97.89,97.59,97.65,96.91,96.84,96.93,97.06,96.93,96.93,96.93,97.18,97.37,97.24,97.24,97.24,97.12,97.09,97.21,97.34,97.40,97.46,97.46,97.46,97.46,97.43,97.43,97.43,97.46,97.34,97.34,97.31,97.11,96.97,97.24,97.21,97.15,97.12,97.28,97.21,97.15,97.37,97.28,97.65,97.83,97.46,97.96,97.74,98.08,95.36,94.64,94.58,94.49,94.46,94.46,94.85,94.81,95.23,94.52,94.83,94.61,94.58,95.94,94.58,94.49,94.58,94.58,94.61,94.61,94.46,94.33,94.30,94.40,94.33,94.33,94.43,94.43,94.52,94.92
A-KJ919308,86.16,86.56,86.53,86.53,86.56,86.53,96.94,98.05,97.43,97.49,97.52,97.52,97.59,97.55,97.62,97.65,97.62,97.31,97.15,97.03,97.06,97.74,97.74,98.66,98.51,98.81,98.58,98.67,98.67,98.67,98.64,98.73,99.66,,99.91,97.15,97.21,97.06,97.09,97.15,97.21,97.24,97.18,97.18,97.24,97.15,97.34,97.31,97.31,97.24,97.15,96.98,97.28,97.28,97.31,97.18,97.21,97.21,97.28,97.48,97.77,97.77,97.74,97.43,97.49,96.76,96.69,96.78,96.90,96.78,96.78,96.78,97.03,97.21,97.09,97.09,97.09,97.03,97.00,97.06,97.18,97.24,97.31,97.31,97.31,97.31,97.28,97.28,97.28,97.31,97.18,97.18,97.15,96.95,96.81,97.09,97.06,97.00,96.97,97.12,97.06,97.00,97.21,97.12,97.49,97.68,97.31,97.80,97.59,97.93,95.20,94.52,94.46,94.37,94.33,94.33,94.70,94.66,95.08,94.37,94.67,94.46,94.43,95.79,94.43,94.37,94.46,94.46,94.46,94.52,94.30,94.18,94.15,94.24,94.18,94.24,94.33,94.33,94.37,94.77
A-KC443356,86.25,86.59,86.56,86.56,86.59,86.56,97.04,98.14,97.52,97.59,97.62,97.62,97.68,97.65,97.71,97.74,97.71,97.40,97.24,97.12,97.15,97.83,97.83,98.75,98.61,98.90,98.67,98.76,98.76,98.76,98.73,98.82,99.75,99.91,,97.24,97.31,97.15,97.18,97.24,97.31,97.34,97.28,97.28,97.34,97.24,97.43,97.40,97.40,97.34,97.24,97.07,97.31,97.31,97.40,97.28,97.31,97.31,97.37,97.57,97.86,97.86,97.83,97.52,97.59,96.85,96.78,96.87,97.00,96.87,96.87,96.87,97.12,97.31,97.18,97.18,97.18,97.06,97.03,97.15,97.28,97.34,97.40,97.40,97.40,97.40,97.37,97.37,97.37,97.40,97.28,97.28,97.24,97.04,96.90,97.18,97.15,97.09,97.06,97.21,97.15,97.09,97.31,97.21,97.59,97.77,97.40,97.89,97.68,98.02,95.23,94.55,94.49,94.40,94.37,94.37,94.73,94.69,95.11,94.40,94.71,94.49,94.46,95.82,94.46,94.40,94.49,94.49,94.49,94.55,94.33,94.21,94.18,94.27,94.21,94.27,94.37,94.37,94.40,94.80
B-KJ639023,86.22,86.59,86.56,86.56,86.69,86.59,96.34,97.55,96.90,96.97,97.00,97.06,97.06,97.03,97.03,97.06,97.03,96.84,96.75,96.47,96.50,96.72,96.72,96.10,97.43,97.51,97.28,97.37,97.37,97.37,97.34,96.81,97.31,97.15,97.24,,99.81,99.41,99.44,99.20,99.26,99.29,99.47,99.54,99.60,99.44,99.50,99.54,99.54,99.10,98.89,98.53,98.58,98.58,98.92,98.79,98.82,98.82,98.89,98.84,99.20,99.20,99.16,99.04,99.16,98.49,98.51,98.51,98.76,98.70,98.70,98.70,98.76,98.98,98.79,98.79,98.79,98.89,98.85,98.95,99.10,99.16,99.16,99.16,99.16,99.16,99.13,99.13,99.13,99.16,99.10,99.10,99.07,98.81,98.67,98.85,98.82,98.85,98.82,98.98,98.92,98.92,99.13,99.04,97.62,97.68,97.52,97.99,98.08,98.39,94.86,94.02,94.09,93.99,94.02,94.02,94.23,94.32,94.64,94.09,94.33,94.06,94.09,95.70,94.24,94.09,94.12,94.12,93.99,94.02,93.87,93.65,93.62,93.72,93.65,93.65,94.02,94.09,94.06,94.33
B-KJ639012,86.28,86.66,86.63,86.63,86.75,86.66,96.40,97.62,96.97,97.03,97.06,97.12,97.12,97.09,97.09,97.12,97.09,96.90,96.81,96.53,96.56,96.78,96.78,96.16,97.49,97.57,97.34,97.43,97.43,97.43,97.40,96.87,97.37,97.21,97.31,99.81,,99.47,99.50,99.26,99.32,99.35,99.54,99.60,99.66,99.50,99.57,99.60,99.60,99.16,98.95,98.59,98.64,98.64,98.98,98.85,98.89,98.89,98.95,98.90,99.26,99.26,99.23,99.10,99.23,98.55,98.58,98.58,98.82,98.76,98.76,98.76,98.82,99.04,98.85,98.85,98.85,98.95,98.92,99.01,99.16,99.23,99.23,99.23,99.23,99.23,99.20,99.20,99.20,99.23,99.16,99.16,99.13,98.87,98.73,98.92,98.89,98.92,98.89,99.04,98.98,98.98,99.20,99.10,97.68,97.74,97.59,98.05,98.14,98.45,94.92,94.09,94.15,94.06,94.09,94.09,94.30,94.38,94.71,94.21,94.40,94.12,94.15,95.76,94.30,94.15,94.18,94.18,94.06,94.09,93.93,93.72,93.68,93.78,93.72,93.72,94.15,94.21,94.12,94.40
B-LC260244,86.07,86.63,86.59,86.59,86.72,86.63,96.23,97.46,96.81,96.87,96.90,96.97,96.97,96.93,96.93,96.97,96.93,96.75,96.66,96.38,96.41,96.63,96.63,96.00,97.40,97.41,97.18,97.28,97.28,97.28,97.24,96.72,97.21,97.06,97.15,99.41,99.47,,99.97,99.29,99.35,99.38,99.57,99.63,99.69,99.54,99.60,99.63,99.63,99.07,98.85,98.44,98.48,98.48,98.82,98.70,98.73,98.73,98.79,98.75,99.10,99.10,99.07,98.95,99.01,98.43,98.48,98.48,98.73,98.67,98.67,98.67,98.73,98.95,98.76,98.82,98.76,98.85,98.82,98.92,99.07,99.13,99.13,99.13,99.13,99.13,99.10,99.10,99.10,99.13,99.07,99.07,99.04,98.75,98.64,98.82,98.79,98.82,98.79,98.95,98.89,98.89,99.10,99.01,97.52,97.59,97.43,97.89,97.99,98.30,94.83,93.93,93.99,93.90,93.93,93.93,94.14,94.23,94.55,93.99,94.24,93.96,93.99,95.60,94.15,93.99,94.02,94.09,93.90,93.93,93.78,93.56,93.53,93.62,93.56,93.56,93.93,93.99,93.96,94.24
B-KX880428,86.10,86.59,86.56,86.56,86.69,86.59,96.27,97.49,96.84,96.90,96.93,97.00,97.00,96.97,96.97,97.00,96.97,96.78,96.69,96.41,96.44,96.66,96.66,96.03,97.43,97.45,97.21,97.31,97.31,97.31,97.28,96.75,97.24,97.09,97.18,99.44,99.50,99.97,,99.32,99.38,99.41,99.60,99.66,99.72,99.57,99.63,99.66,99.66,99.10,98.89,98.47,98.51,98.51,98.85,98.73,98.76,98.76,98.82,98.78,99.13,99.13,99.10,98.98,99.04,98.46,98.51,98.51,98.76,98.70,98.70,98.70,98.76,98.98,98.79,98.85,98.79,98.89,98.85,98.95,99.10,99.16,99.16,99.16,99.16,99.16,99.13,99.13,99.13,99.16,99.10,99.10,99.07,98.78,98.67,98.85,98.82,98.85,98.82,98.98,98.92,98.92,99.13,99.04,97.55,97.62,97.46,97.93,98.02,98.33,94.86,93.96,94.02,93.93,93.96,93.96,94.17,94.26,94.58,94.02,94.27,93.99,94.02,95.63,94.18,94.02,94.06,94.12,93.93,93.96,93.81,93.59,93.56,93.65,93.59,93.59,93.96,94.02,93.99,94.27
B-MG670645,86.04,86.47,86.44,86.44,86.56,86.47,96.23,97.49,96.84,96.90,96.93,97.00,97.00,96.97,96.97,97.00,96.97,96.84,96.75,96.41,96.44,96.72,96.72,96.06,97.46,97.51,97.28,97.37,97.37,97.37,97.34,96.81,97.31,97.15,97.24,99.20,99.26,99.29,99.32,,99.88,99.91,99.35,99.41,99.47,99.50,99.69,99.54,99.54,98.92,98.70,98.28,98.39,98.39,98.67,98.54,98.58,98.58,98.64,98.59,98.95,98.95,98.92,98.79,98.85,98.27,98.33,98.33,98.58,98.51,98.51,98.51,98.58,98.79,98.61,98.61,98.61,98.70,98.67,98.76,98.92,98.98,98.98,98.98,98.98,98.98,98.95,98.95,98.95,98.98,98.92,98.92,98.89,98.59,98.48,98.67,98.64,98.67,98.64,98.79,98.73,98.73,98.95,98.85,97.55,97.62,97.40,97.86,97.99,98.27,94.92,94.09,94.09,93.99,94.02,94.02,94.23,94.32,94.64,94.09,94.33,94.06,94.09,95.70,94.27,94.02,94.12,94.12,93.99,94.02,93.87,93.65,93.62,93.72,93.65,93.65,94.02,94.09,94.06,94.33
B-MG670646,86.10,86.53,86.50,86.50,86.63,86.53,96.30,97.55,96.90,96.97,97.00,97.06,97.06,97.03,97.03,97.06,97.03,96.90,96.81,96.47,96.50,96.78,96.78,96.13,97.52,97.57,97.34,97.43,97.43,97.43,97.40,96.87,97.37,97.21,97.31,99.26,99.32,99.35,99.38,99.88,,99.97,99.41,99.47,99.54,99.57,99.75,99.60,99.60,98.98,98.76,98.34,98.45,98.45,98.73,98.61,98.64,98.64,98.70,98.65,99.01,99.01,98.98,98.85,98.92,98.34,98.39,98.39,98.64,98.58,98.58,98.58,98.64,98.85,98.67,98.67,98.67,98.76,98.73,98.82,98.98,99.04,99.04,99.04,99.04,99.04,99.01,99.01,99.01,99.04,98.98,98.98,98.95,98.65,98.54,98.73,98.70,98.73,98.70,98.85,98.79,98.79,99.01,98.92,97.62,97.68,97.46,97.93,98.02,98.33,94.98,94.15,94.15,94.06,94.09,94.09,94.30,94.38,94.71,94.15,94.40,94.12,94.15,95.76,94.30,94.09,94.18,94.18,94.06,94.09,93.93,93.72,93.68,93.78,93.72,93.72,94.09,94.15,94.12,94.40
B-MG670642,86.13,86.56,86.53,86.53,86.66,86.56,96.34,97.59,96.93,97.00,97.03,97.09,97.09,97.06,97.06,97.09,97.06,96.93,96.84,96.50,96.53,96.81,96.81,96.16,97.55,97.60,97.37,97.46,97.46,97.46,97.43,96.90,97.40,97.24,97.34,99.29,99.35,99.38,99.41,99.91,99.97,,99.44,99.50,99.57,99.60,99.78,99.63,99.63,99.01,98.79,98.37,98.48,98.48,98.76,98.64,98.67,98.67,98.73,98.68,99.04,99.04,99.01,98.89,98.95,98.37,98.42,98.42,98.67,98.61,98.61,98.61,98.67,98.89,98.70,98.70,98.70,98.79,98.76,98.85,99.01,99.07,99.07,99.07,99.07,99.07,99.04,99.04,99.04,99.07,99.01,99.01,98.98,98.68,98.58,98.76,98.73,98.76,98.73,98.89,98.82,98.82,99.04,98.95,97.65,97.71,97.49,97.96,98.05,98.36,95.02,94.18,94.18,94.09,94.12,94.12,94.33,94.41,94.74,94.18,94.43,94.15,94.18,95.79,94.33,94.12,94.21,94.21,94.09,94.12,93.96,93.75,93.72,93.81,93.75,93.75,94.12,94.18,94.15,94.43
B-KU059788,86.07,86.56,86.53,86.53,86.66,86.56,96.37,97.59,96.93,97.00,97.03,97.09,97.09,97.06,97.06,97.09,97.06,96.87,96.78,96.50,96.53,96.75,96.75,96.13,97.52,97.54,97.31,97.40,97.40,97.40,97.37,96.78,97.34,97.18,97.28,99.47,99.54,99.57,99.60,99.35,99.41,99.44,,99.88,99.88,99.60,99.66,99.69,99.69,99.13,98.92,98.50,98.54,98.54,98.89,98.76,98.79,98.79,98.85,98.81,99.16,99.16,99.13,99.07,99.07,98.49,98.54,98.54,98.79,98.73,98.73,98.73,98.79,99.01,98.82,98.82,98.82,98.92,98.89,98.98,99.13,99.20,99.20,99.20,99.20,99.20,99.16,99.16,99.16,99.20,99.13,99.13,99.10,98.81,98.70,98.95,98.92,98.89,98.85,99.01,98.95,98.95,99.16,99.07,97.65,97.71,97.49,97.96,98.05,98.36,94.95,93.99,94.06,93.96,93.99,93.99,94.20,94.29,94.61,94.06,94.30,94.02,94.06,95.67,94.21,94.06,94.09,94.09,93.96,93.99,93.84,93.62,93.59,93.68,93.62,93.62,93.99,94.06,94.02,94.30
B-KU059777,86.07,86.50,86.47,86.47,86.59,86.50,96.37,97.59,96.93,97.00,97.03,97.09,97.09,97.06,97.06,97.09,97.06,96.87,96.78,96.50,96.53,96.75,96.75,96.13,97.52,97.54,97.31,97.40,97.40,97.40,97.37,96.84,97.34,97.18,97.28,99.54,99.60,99.63,99.66,99.41,99.47,99.50,99.88,,99.94,99.66,99.72,99.75,99.75,99.20,98.98,98.56,98.61,98.61,98.95,98.82,98.85,98.85,98.92,98.87,99.23,99.23,99.20,99.07,99.13,98.55,98.61,98.61,98.85,98.79,98.79,98.79,98.85,99.07,98.89,98.89,98.89,98.98,98.95,99.04,99.20,99.26,99.26,99.26,99.26,99.26,99.23,99.23,99.23,99.26,99.20,99.20,99.16,98.87,98.76,98.95,98.92,98.95,98.92,99.07,99.01,99.01,99.23,99.13,97.65,97.71,97.55,98.02,98.11,98.42,94.95,94.06,94.12,94.02,94.06,94.06,94.26,94.35,94.67,94.12,94.37,94.09,94.12,95.73,94.27,94.12,94.15,94.15,94.02,94.06,93.90,93.68,93.65,93.75,93.68,93.68,94.06,94.12,94.09,94.37
